标题,内容,时间
罗俊书记赴省教育国际交流协会参加国际合作办学座谈会,为加大学院国际交流合作力度，拓展国际交流合作平台，多层次、多元化、多学科、多领域办学，不断提升国际化办学水平，11月24日，学校党委书记罗俊，副院长王焱赴省教育国际交流协会参加国际合作办学座谈会。贵州省教育国际交流协会会长周宝英，秘书长陈小飞出席会议，培...,2021/11/24
贵州省职业院校学习贯彻“习近平总书记在庆祝中国共产党成立100周年大会上的重要讲话精神”宣讲会在我院举行,为进一步深入学习宣传习近平总书记在庆祝中国共产党成立100周年大会上的重要讲话精神，更加全面、准确、深入认识习近平总书记重要讲话的重大意义、主要内容和丰富内涵，助力我省职业院校党史学习教育走深走实，融会贯通，推动我省职业校教育高质量发展。根据省教育厅安...,2021/11/9
统筹推进  高质赋能 ——学院召开双高建设申报工作推进会,为高质量推进我院双高院校申报工作，10月10日上午，学院在知行楼六楼二会议室召开“双高”建设申报工作推进会。院党委书记罗俊，党委副书记、院长刘荣鹏，副书记韦永革，副院长张泽宽、张金华、钟少兰，党委委员、组织部（人事处）部长（处长）段班权，学院双高建设方案...,2021/10/11
技能高手过招 贵州省第一届职业技能大赛黔南州选拔赛黔南民族职业技术学院赛区七个赛项顺利开赛,9月17日上午，以“技能筑梦　振兴黔南”为主题的贵州省第一届职业技能大赛黔南州选拔赛黔南民族职业技术学院分赛场赛项全部顺利开赛。黔南民族职业技术学院分赛场共承办花艺、平面设计技术、畜牧兽医能手、农机操作能手、茶艺、瓷砖贴面、室内装饰设计共七个项目的竞赛...,2021/9/17
我院学子刘道敏在第十六届东京残奥会夺得女子100米蛙泳SB6级银牌,8月28日，在第十六届东京残奥会游泳项目女子100米蛙泳SB6级决赛中，我院2018级电子商务专业学子刘道敏夺得银牌。...,2021/8/29
管理系“三下乡”社会实践团参观长顺红军标语纪念馆,8月12日，为引导和帮助广大青年学生上好与现实相结合的“大思政课”，在社会课堂中受教育、长才干、做贡献，学院管理系“三下乡”社会实践团到长顺县生联村，参观长顺红军标语纪念馆。<?xml:namespace prefix = o />1935年4月，红一方面军长征转战长顺，足迹遍及长顺县1...,2021/8/13
合力整治交通隐患  守护学生返家安全,2021年暑期即将开始，为消除交通安全隐患，确保暑期学生离校返家旅程的交通安全，根据平安校园联动工作制度，学院保卫处联合都匀市公安交警四中队、市运管于2021年7月13日在校园周边开展了一次交通安全隐患专项整治。一是彻查无证、无牌等“黑车”，二是整治校园周边交...,2021/7/14
张泽宽副院长到管理系宣讲习近平总书记视察贵州重要讲话精神,6月29日，学院党委委员、副院长张泽宽到管理系开展“牢记嘱托感恩奋进——学习习近平总书记视察贵州重要讲话精神”宣讲。系总支书记、学生工作支部、中共预备党员、入党积极分子、共青团员共计20余人参加宣讲。宣讲会上，张泽宽副院长详细介绍了习近平总书记视察贵州时...,2021/6/30
“饮水思源”作品展礼献建党百年华诞,近日，在中国共产党百年华诞到来之际，建筑工程与设计系在建筑大楼B栋展示厅举办“饮水思源”作品展。广告艺术设计专业的同学在白浩、刘佳娴等老师的指导下，绘出“遵义会址”、“邓恩铭故居”等一系列红色纪念地的图案，并将图案用作“匀山雾水”矿泉水外包装，提醒后...,2021/6/25
2021年学院举行秋季征兵工作推进会,"为扎实有序推进我院2021年秋季征兵工作，贯彻落实贵州省高校征兵工作调度会议精神，确保我院高标准、高水平、高质量完成秋季征兵工作任务。6月11日，张金华副院长,学生处潘奇处长,各系党总支书记、学管主任及院武装部肖明强部长在知行楼六楼第一会议室召开2021年秋季征...",2021/6/12
学院开展党内法规集中学习 增强党员党纪党性意识,为增强党员党纪党性意识，6月2日，学院党委按照党史学习教育和“牢记殷切嘱托、忠诚干净担当、喜迎建党百年”专题教育工作安排，组织开展党内法规集中学习。学院党委书记罗俊主持学习并讲话。会议集中学习了《中共中央关于加强对“一把手”和领导班子监督的意见》、《中...,2021/6/3
学院举办《大学生职业生涯规划》讲座,为了帮助学生强化职业意识，树立远大职业理想，进一步掌握职业生涯规划的基本方法，培养就业自助意识和创业精神，结合教育部“2021届高校毕业生就业促进周”和“黔南州2021年职教活动周” 要求，我院开展了就业指导系列讲座活动。5月24日下午在学术报告厅举办了“《职业...,2021/5/25
学习百年党史 弘扬五四精神,为庆祝中国共产党成立100周年，纪念五四运动102周年，进一步引导我系青年学生学习百年党史，弘扬五四精神，坚定理想信念、投身祖国建设。2021年5月13日，管理系在南区讲学厅举办“庆祝中国共产党成立100周年诗歌朗诵比赛活动。本次活动经初赛共有15名选手参加比赛。比赛...,2021/5/14
校政企联合举办服务乡村振兴人才现场招聘会,为服务乡村振兴战略，充分发挥职业院校服务地方产业发展功能，4月29日下午，由黔南民族职业技术学院、平塘县人力资源和社会保障局共同举办的“平塘县乡村振兴人才需求现场招聘会”在黔南民族职业技术学院举行。本次招聘单位来自平塘县8家本土优质企业，提供22个专业技术...,2021/4/30
黔南职院2021年度州委重大问题调研课题正式展开,为保障由我院承办的2021年度州委重大问题调研课题——“黔南州职业教育服务乡村振兴策略研究“的顺利展开，分别于2021年4月16日与4月21日，召开2021年度州委重大问题调研课题工作推进会和课题讨论会，学院党委委员、副院长张金华，学院党委副书记韦永革，学院组织部（人...,2021/4/22
加强阵地建设 以主人翁姿态建功新时代,3月30日下午，学院第三届工会委员会在知行楼二会议室召开工会委员会会议，会议传达学习了省委书记谌贻琴在全省党史学习教育动员大会的讲话和州委书记唐德智在全州党史学习教育动员大会上的讲话精神，推选黔南州选树命名“五一劳动奖章”候选人，研究部署下一步工会工作...,2021/4/1
校政合作新篇章—黔南职院与黔南州工信局签订校政合作委托合同,"3月20日，黔南民族职业技术学院与黔南州工业和信息化局“黔南工业云平台运维（一期）委托合同”签约仪式暨“黔南州大数据技术应用中心”揭牌仪式在黔南民族职业技术学院举行。学院党委副书记、院长刘荣鹏,副院长张泽宽,大数据系总支书记石铃林,系主任贡玉军及各分管副主...",2021/3/21
思政部教师深入学习习近平总书记视察贵州重要讲话精神,3月11日，思政部召开全体教师学习会，深入学习习近平总书记视察贵州重要讲话精神。会议由思政部负责人滕晓梅主持。学习会上，全体教师首先观看了习近平总书记视察贵州的电视报道，随后在滕晓梅的带领下，学习习近平总书记对贵州各项工作取得成绩的肯定，并从五个主要方...,2021/3/12
我院参加“贵州省高水平高职学校”现场评审工作会,12月23日-24日，省教育厅在贵州省交通职业技术学院召开了“中国特色高水平高职学校和高水平专业建设计划”申报院校评审工作会。我院作为申报院校之一，顺利圆满完成“双高建设”申报汇报。现场答辩会上，刘荣鹏院长对学院整体进行了专题汇报，通过学院建设背景、建设基...,2020/12/25
黔南职院第二次党代会召开各代表团会议分组讨论“两委”工作报告,12月12日，黔南职院第二次党代会分组审议“两委”工作报告，党费收缴、使用和管理情况报告，讨论“两委”委员候选人名单。与会代表认真审读了“两委”工作报告，并以强烈的政治责任感和主人翁意识畅所欲言，建言献策。大家一致认为，罗俊同志所作的报告，对学院过去五年...,2020/12/12
院机关第四党支部组织召开师德师风专题学习会,为进一步加强新时代教师师德师风建设，落实立德树人根本任务，按照学院党委师德师风建设相关要求，近日，学院机关党总支第四党支部组织召开师德师风专题学习会议。支部书记高尚传达学院监察部门关于党员廉政教育相关要求、学院关于加强师德师风学习相关要求。支部副书记...,2020/12/2
弘扬抗美援朝精神  争做新时代好青年,为纪念70年前中国人民志愿军抗美援朝战争的伟大胜利，11月19日晚，会计系党总支在知行楼学术报告厅举办“弘扬抗美援朝精神，争做新时代好青年”诗歌朗诵大赛。此次比赛，以“重温红色历史，传承红色精神，缅怀革命先烈，讴歌党的光辉业绩”为出发点，以“加强爱国主义教...,2020/11/20
学生处组织心理健康测试建档培训,11月9日，学生处根据学院学生心理健康工作安排，组织了各系、中职部学管主任、二级学生心理教育辅导站负责老师进行学生心理健康测试建档培训。培训由学生处心理健康教育与咨询中心负责人何媛老师组织实施。学生处潘奇处长、熊国庆老师出席培训会。培训之前，熊国庆老师...,2020/11/10
建筑系党总支召开园林工程技术专业建设研讨会,10月28日，建筑工程与设计系党总支书记杨明凯协同园林工程技术专业负责人谢伟主持召开园林工程技术专业研讨会。会上，谢伟同志介绍了会议议程和目的，对园林专业建设情况作初步介绍，对近期调研研讨情况做了简单总结。专业教师就专业建设、课程设置、招生就业等问题发表...,2020/10/29
发挥教育优势，推进校企合作,10月21日，院党委书记罗俊、现代山地农业工程系主任范大有到三都县中和镇中和村开展脱贫攻坚调研。在中和镇，罗俊书记开展入村走访，同贫困户亲切交谈，了解生产生活和家庭情况。在贫困户石庆辉家中，户主介绍了家庭和当地帮扶政策执行情况，对村镇领导和学院党委多次对...,2020/10/22
走访入寝 关怀入心,为进一步了解新生入学情况，以便新生更快地适应大学生活，10月15日新生入学第一天晚上，大数据与电子商务系的党总支书记石铃林、学管主任韦仲园及2020级辅导员走访了该系部分寝室。在探望中，老师们细心询问新生的入校情况，关心新生的生活安排，并耐心解答了新生的各种...,2020/10/16
饶辉院长赴三都县中和镇调研,9月27日，值中秋节、国庆节来临之际，饶辉院长，王焱副院长到三都县中和镇新阳村、仙人桥村进行党建调研和帮扶工作。饶辉院长到中和镇仙人桥村听取了村第一书记党建工作开展情况和脱贫攻坚成效，对村委在脱贫攻坚中发挥党建引领，强化产业发展，决战脱贫取得的成绩给予...,2020/9/28
学院积极开展2020年国家网络安全宣传周活动,9月14日—20日，学院积极开展了以“网络安全为人民、网络安全靠人民”为主题的网络安全宣传周活动。多途径开展宣传活动。为营造网络安全宣传氛围，组织师生收看网络安全相关视频；在学院官网开设了“2020国家网络安全宣传周”专栏，向全院师生普及网络安全知识；通过校...,2020/9/21
大数据与电子商务系开展“感谢师恩，你我同行”团组织生活会,为了弘扬尊师重教的传统美德，培养广大学生尊师爱师的情感，9月10日教师节当日，我系开展了以“感谢师恩，你我同行”为主题的团组织生活会。全系18、19级在校26个团支部近500名团员参加了本次团组织生活会。活动通过PPT讲解、观看寻找最美教师等相关资料，让同学们了解...,2020/9/11
重温党的光辉历程 牢记党的初心使命,9月3日是中国人民抗日战争暨世界反法西斯战争胜利75周年纪念日，为进一步激发广大党员干部的爱国热情和历史责任感，加强党员理想信念，提高党性修养，结合“党课开讲”系列活动，9月3日下午，大数据与电子商务系党总支组织全体党员召开大会，开展以回顾“中国共产党的光...,2020/9/4
学院领导赴吉利汽车贵阳制造基地调研指导校企合作工作,为贯彻落实教育部、财政部《关于实施中国特色高水平高职学校和专业建设计划的意见》要求，强力推进产教融合、校企合作，聚焦高端产业和产业高端，推动我院汽车专业群快速发展，服务国家战略、融入区域发展、促进产业升级，为建设教育强国、人才强国作出重要贡献。8月23...,2020/8/24
